
---------- Begin Simulation Statistics ----------
simSeconds                                   1.820284                       # Number of seconds simulated (Second)
simTicks                                 1820283557004                       # Number of ticks simulated (Tick)
finalTick                                1820283557004                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   5104.06                       # Real time elapsed on the host (Second)
hostTickRate                                356634374                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1472088                       # Number of bytes of host memory used (Byte)
simInsts                                    362084878                       # Number of instructions simulated (Count)
simOps                                      415116913                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    70940                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      81331                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED 1820283557004                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       267272391                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      278494102                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                 1998342                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     279465150                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                156771                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            20274285                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         15421364                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved             180291                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          260899863                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.071159                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.795501                       # Number of insts issued each cycle (Count)
system.cpu1.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu1.MemDepUnit__3.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu1.MemDepUnit__3.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu1.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu1.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu1.branchPred.lookups                7891199                       # Number of BP lookups (Count)
system.cpu1.branchPred.condPredicted          5299335                       # Number of conditional branches predicted (Count)
system.cpu1.branchPred.condIncorrect           198978                       # Number of conditional branches incorrect (Count)
system.cpu1.branchPred.BTBLookups             3768209                       # Number of BTB lookups (Count)
system.cpu1.branchPred.BTBHits                3531988                       # Number of BTB hits (Count)
system.cpu1.branchPred.BTBHitRatio           0.937312                       # BTB Hit Ratio (Ratio)
system.cpu1.branchPred.RASUsed                1059740                       # Number of times the RAS was used to get a target. (Count)
system.cpu1.branchPred.RASIncorrect              6199                       # Number of incorrect RAS predictions. (Count)
system.cpu1.branchPred.indirectLookups         243460                       # Number of indirect predictor lookups. (Count)
system.cpu1.branchPred.indirectHits            229698                       # Number of indirect target hits. (Count)
system.cpu1.branchPred.indirectMisses           13762                       # Number of indirect misses. (Count)
system.cpu1.branchPred.indirectMispredicted         4914                       # Number of mispredicted indirect branches. (Count)
system.cpu1.commit.commitSquashedInsts        1891450                       # The number of squashed insts skipped by commit (Count)
system.cpu1.commit.commitNonSpecStalls         295077                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu1.commit.branchMispredicts           125188                       # The number of times a branch was mispredicted (Count)
system.cpu1.commit.numCommittedDist::samples   4168033007                       # Number of insts commited each cycle (Count)
system.cpu1.commit.numCommittedDist::mean     0.009133                       # Number of insts commited each cycle (Count)
system.cpu1.commit.numCommittedDist::stdev     0.208801                       # Number of insts commited each cycle (Count)
system.cpu1.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu1.commit.numCommittedDist::0     4155643589     99.70%     99.70% # Number of insts commited each cycle (Count)
system.cpu1.commit.numCommittedDist::1        3985924      0.10%     99.80% # Number of insts commited each cycle (Count)
system.cpu1.commit.numCommittedDist::2        2524873      0.06%     99.86% # Number of insts commited each cycle (Count)
system.cpu1.commit.numCommittedDist::3        2321238      0.06%     99.91% # Number of insts commited each cycle (Count)
system.cpu1.commit.numCommittedDist::4         993882      0.02%     99.94% # Number of insts commited each cycle (Count)
system.cpu1.commit.numCommittedDist::5         384813      0.01%     99.95% # Number of insts commited each cycle (Count)
system.cpu1.commit.numCommittedDist::6         526623      0.01%     99.96% # Number of insts commited each cycle (Count)
system.cpu1.commit.numCommittedDist::7         208269      0.00%     99.97% # Number of insts commited each cycle (Count)
system.cpu1.commit.numCommittedDist::8        1443796      0.03%    100.00% # Number of insts commited each cycle (Count)
system.cpu1.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu1.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu1.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu1.commit.numCommittedDist::total   4168033007                       # Number of insts commited each cycle (Count)
system.cpu1.commit.instsCommitted            32832252                       # Number of instructions committed (Count)
system.cpu1.commit.opsCommitted              38066966                       # Number of ops (including micro ops) committed (Count)
system.cpu1.commit.memRefs                   12054576                       # Number of memory references committed (Count)
system.cpu1.commit.loads                      6841839                       # Number of loads committed (Count)
system.cpu1.commit.amos                           103                       # Number of atomic instructions committed (Count)
system.cpu1.commit.membars                     172410                       # Number of memory barriers committed (Count)
system.cpu1.commit.branches                   7071815                       # Number of branches committed (Count)
system.cpu1.commit.vectorInstructions            7516                       # Number of committed Vector instructions. (Count)
system.cpu1.commit.floating                         0                       # Number of committed floating point instructions. (Count)
system.cpu1.commit.integer                   34585915                       # Number of committed integer instructions. (Count)
system.cpu1.commit.functionCalls               934544                       # Number of function calls committed. (Count)
system.cpu1.commit.committedInstType_0::No_OpClass         3356      0.01%      0.01% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::IntAlu     25980706     68.25%     68.26% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::IntMult        24273      0.06%     68.32% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::IntDiv          925      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::FloatAdd            0      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::FloatCmp            0      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::FloatCvt            0      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::FloatMult            0      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::FloatMultAcc            0      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::FloatDiv            0      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::FloatMisc          633      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::FloatSqrt            0      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdAdd          365      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdAddAcc            0      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdAlu          538      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdCmp         1037      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdCvt            0      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdMisc          557      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdMult            0      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdMultAcc            0      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdShift            0      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdShiftAcc            0      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdDiv            0      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdSqrt            0      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdFloatAdd            0      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdFloatAlu            0      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdFloatCmp            0      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdFloatCvt            0      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdFloatDiv            0      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdFloatMisc            0      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdFloatMult            0      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdFloatMultAcc            0      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdFloatSqrt            0      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdReduceAdd            0      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdReduceAlu            0      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdReduceCmp            0      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdFloatReduceAdd            0      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdFloatReduceCmp            0      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdAes            0      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdAesMix            0      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdSha1Hash            0      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdSha1Hash2            0      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdSha256Hash            0      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdSha256Hash2            0      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdShaSigma2            0      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdShaSigma3            0      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdPredAlu            0      0.00%     68.33% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::MemRead      6841839     17.97%     86.31% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::MemWrite      5212737     13.69%    100.00% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::FloatMemRead            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::FloatMemWrite            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::IprAccess            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::InstPrefetch            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::total     38066966                       # Class of committed instruction (Count)
system.cpu1.commit.commitEligibleSamples      1443796                       # number cycles where commit BW limit reached (Cycle)
system.cpu1.dcache.demandHits::cpu1.data     11454643                       # number of demand (read+write) hits (Count)
system.cpu1.dcache.demandHits::total         11454643                       # number of demand (read+write) hits (Count)
system.cpu1.dcache.overallHits::cpu1.data     11565711                       # number of overall hits (Count)
system.cpu1.dcache.overallHits::total        11565711                       # number of overall hits (Count)
system.cpu1.dcache.demandMisses::cpu1.data       205202                       # number of demand (read+write) misses (Count)
system.cpu1.dcache.demandMisses::total         205202                       # number of demand (read+write) misses (Count)
system.cpu1.dcache.overallMisses::cpu1.data       211172                       # number of overall misses (Count)
system.cpu1.dcache.overallMisses::total        211172                       # number of overall misses (Count)
system.cpu1.dcache.demandMissLatency::cpu1.data   6447628566                       # number of demand (read+write) miss ticks (Tick)
system.cpu1.dcache.demandMissLatency::total   6447628566                       # number of demand (read+write) miss ticks (Tick)
system.cpu1.dcache.overallMissLatency::cpu1.data   6447628566                       # number of overall miss ticks (Tick)
system.cpu1.dcache.overallMissLatency::total   6447628566                       # number of overall miss ticks (Tick)
system.cpu1.dcache.demandAccesses::cpu1.data     11659845                       # number of demand (read+write) accesses (Count)
system.cpu1.dcache.demandAccesses::total     11659845                       # number of demand (read+write) accesses (Count)
system.cpu1.dcache.overallAccesses::cpu1.data     11776883                       # number of overall (read+write) accesses (Count)
system.cpu1.dcache.overallAccesses::total     11776883                       # number of overall (read+write) accesses (Count)
system.cpu1.dcache.demandMissRate::cpu1.data     0.017599                       # miss rate for demand accesses (Ratio)
system.cpu1.dcache.demandMissRate::total     0.017599                       # miss rate for demand accesses (Ratio)
system.cpu1.dcache.overallMissRate::cpu1.data     0.017931                       # miss rate for overall accesses (Ratio)
system.cpu1.dcache.overallMissRate::total     0.017931                       # miss rate for overall accesses (Ratio)
system.cpu1.dcache.demandAvgMissLatency::cpu1.data 31420.885596                       # average overall miss latency ((Cycle/Count))
system.cpu1.dcache.demandAvgMissLatency::total 31420.885596                       # average overall miss latency ((Cycle/Count))
system.cpu1.dcache.overallAvgMissLatency::cpu1.data 30532.592228                       # average overall miss latency ((Cycle/Count))
system.cpu1.dcache.overallAvgMissLatency::total 30532.592228                       # average overall miss latency ((Cycle/Count))
system.cpu1.dcache.blockedCycles::no_mshrs       825125                       # number of cycles access was blocked (Cycle)
system.cpu1.dcache.blockedCycles::no_targets          498                       # number of cycles access was blocked (Cycle)
system.cpu1.dcache.blockedCauses::no_mshrs        16570                       # number of times access was blocked (Count)
system.cpu1.dcache.blockedCauses::no_targets           10                       # number of times access was blocked (Count)
system.cpu1.dcache.avgBlocked::no_mshrs     49.796319                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu1.dcache.avgBlocked::no_targets    49.800000                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu1.dcache.writebacks::writebacks        48319                       # number of writebacks (Count)
system.cpu1.dcache.writebacks::total            48319                       # number of writebacks (Count)
system.cpu1.dcache.demandMshrHits::cpu1.data       109855                       # number of demand (read+write) MSHR hits (Count)
system.cpu1.dcache.demandMshrHits::total       109855                       # number of demand (read+write) MSHR hits (Count)
system.cpu1.dcache.overallMshrHits::cpu1.data       109855                       # number of overall MSHR hits (Count)
system.cpu1.dcache.overallMshrHits::total       109855                       # number of overall MSHR hits (Count)
system.cpu1.dcache.demandMshrMisses::cpu1.data        95347                       # number of demand (read+write) MSHR misses (Count)
system.cpu1.dcache.demandMshrMisses::total        95347                       # number of demand (read+write) MSHR misses (Count)
system.cpu1.dcache.overallMshrMisses::cpu1.data        99881                       # number of overall MSHR misses (Count)
system.cpu1.dcache.overallMshrMisses::total        99881                       # number of overall MSHR misses (Count)
system.cpu1.dcache.overallMshrUncacheable::cpu1.data         3233                       # number of overall MSHR uncacheable misses (Count)
system.cpu1.dcache.overallMshrUncacheable::total         3233                       # number of overall MSHR uncacheable misses (Count)
system.cpu1.dcache.demandMshrMissLatency::cpu1.data   2229956668                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu1.dcache.demandMshrMissLatency::total   2229956668                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu1.dcache.overallMshrMissLatency::cpu1.data   2265993928                       # number of overall MSHR miss ticks (Tick)
system.cpu1.dcache.overallMshrMissLatency::total   2265993928                       # number of overall MSHR miss ticks (Tick)
system.cpu1.dcache.overallMshrUncacheableLatency::cpu1.data    110414475                       # number of overall MSHR uncacheable ticks (Tick)
system.cpu1.dcache.overallMshrUncacheableLatency::total    110414475                       # number of overall MSHR uncacheable ticks (Tick)
system.cpu1.dcache.demandMshrMissRate::cpu1.data     0.008177                       # mshr miss ratio for demand accesses (Ratio)
system.cpu1.dcache.demandMshrMissRate::total     0.008177                       # mshr miss ratio for demand accesses (Ratio)
system.cpu1.dcache.overallMshrMissRate::cpu1.data     0.008481                       # mshr miss ratio for overall accesses (Ratio)
system.cpu1.dcache.overallMshrMissRate::total     0.008481                       # mshr miss ratio for overall accesses (Ratio)
system.cpu1.dcache.demandAvgMshrMissLatency::cpu1.data 23387.801063                       # average overall mshr miss latency ((Cycle/Count))
system.cpu1.dcache.demandAvgMshrMissLatency::total 23387.801063                       # average overall mshr miss latency ((Cycle/Count))
system.cpu1.dcache.overallAvgMshrMissLatency::cpu1.data 22686.936735                       # average overall mshr miss latency ((Cycle/Count))
system.cpu1.dcache.overallAvgMshrMissLatency::total 22686.936735                       # average overall mshr miss latency ((Cycle/Count))
system.cpu1.dcache.overallAvgMshrUncacheableLatency::cpu1.data 34152.327560                       # average overall mshr uncacheable latency ((Cycle/Count))
system.cpu1.dcache.overallAvgMshrUncacheableLatency::total 34152.327560                       # average overall mshr uncacheable latency ((Cycle/Count))
system.cpu1.dcache.replacements                 78094                       # number of replacements (Count)
system.cpu1.dcache.InvalidateReq.mshrMisses::cpu1.data            2                       # number of InvalidateReq MSHR misses (Count)
system.cpu1.dcache.InvalidateReq.mshrMisses::total            2                       # number of InvalidateReq MSHR misses (Count)
system.cpu1.dcache.InvalidateReq.mshrMissLatency::cpu1.data        94239                       # number of InvalidateReq MSHR miss ticks (Tick)
system.cpu1.dcache.InvalidateReq.mshrMissLatency::total        94239                       # number of InvalidateReq MSHR miss ticks (Tick)
system.cpu1.dcache.InvalidateReq.mshrMissRate::cpu1.data          inf                       # mshr miss rate for InvalidateReq accesses (Ratio)
system.cpu1.dcache.InvalidateReq.mshrMissRate::total          inf                       # mshr miss rate for InvalidateReq accesses (Ratio)
system.cpu1.dcache.InvalidateReq.avgMshrMissLatency::cpu1.data 47119.500000                       # average InvalidateReq mshr miss latency ((Tick/Count))
system.cpu1.dcache.InvalidateReq.avgMshrMissLatency::total 47119.500000                       # average InvalidateReq mshr miss latency ((Tick/Count))
system.cpu1.dcache.LoadLockedReq.hits::cpu1.data       116618                       # number of LoadLockedReq hits (Count)
system.cpu1.dcache.LoadLockedReq.hits::total       116618                       # number of LoadLockedReq hits (Count)
system.cpu1.dcache.LoadLockedReq.misses::cpu1.data         8397                       # number of LoadLockedReq misses (Count)
system.cpu1.dcache.LoadLockedReq.misses::total         8397                       # number of LoadLockedReq misses (Count)
system.cpu1.dcache.LoadLockedReq.missLatency::cpu1.data     74781810                       # number of LoadLockedReq miss ticks (Tick)
system.cpu1.dcache.LoadLockedReq.missLatency::total     74781810                       # number of LoadLockedReq miss ticks (Tick)
system.cpu1.dcache.LoadLockedReq.accesses::cpu1.data       125015                       # number of LoadLockedReq accesses(hits+misses) (Count)
system.cpu1.dcache.LoadLockedReq.accesses::total       125015                       # number of LoadLockedReq accesses(hits+misses) (Count)
system.cpu1.dcache.LoadLockedReq.missRate::cpu1.data     0.067168                       # miss rate for LoadLockedReq accesses (Ratio)
system.cpu1.dcache.LoadLockedReq.missRate::total     0.067168                       # miss rate for LoadLockedReq accesses (Ratio)
system.cpu1.dcache.LoadLockedReq.avgMissLatency::cpu1.data  8905.777063                       # average LoadLockedReq miss latency ((Tick/Count))
system.cpu1.dcache.LoadLockedReq.avgMissLatency::total  8905.777063                       # average LoadLockedReq miss latency ((Tick/Count))
system.cpu1.dcache.LoadLockedReq.mshrHits::cpu1.data         5361                       # number of LoadLockedReq MSHR hits (Count)
system.cpu1.dcache.LoadLockedReq.mshrHits::total         5361                       # number of LoadLockedReq MSHR hits (Count)
system.cpu1.dcache.LoadLockedReq.mshrMisses::cpu1.data         3036                       # number of LoadLockedReq MSHR misses (Count)
system.cpu1.dcache.LoadLockedReq.mshrMisses::total         3036                       # number of LoadLockedReq MSHR misses (Count)
system.cpu1.dcache.LoadLockedReq.mshrMissLatency::cpu1.data     22995648                       # number of LoadLockedReq MSHR miss ticks (Tick)
system.cpu1.dcache.LoadLockedReq.mshrMissLatency::total     22995648                       # number of LoadLockedReq MSHR miss ticks (Tick)
system.cpu1.dcache.LoadLockedReq.mshrMissRate::cpu1.data     0.024285                       # mshr miss rate for LoadLockedReq accesses (Ratio)
system.cpu1.dcache.LoadLockedReq.mshrMissRate::total     0.024285                       # mshr miss rate for LoadLockedReq accesses (Ratio)
system.cpu1.dcache.LoadLockedReq.avgMshrMissLatency::cpu1.data  7574.324111                       # average LoadLockedReq mshr miss latency ((Tick/Count))
system.cpu1.dcache.LoadLockedReq.avgMshrMissLatency::total  7574.324111                       # average LoadLockedReq mshr miss latency ((Tick/Count))
system.cpu1.dcache.ReadReq.hits::cpu1.data      6465162                       # number of ReadReq hits (Count)
system.cpu1.dcache.ReadReq.hits::total        6465162                       # number of ReadReq hits (Count)
system.cpu1.dcache.ReadReq.misses::cpu1.data       104969                       # number of ReadReq misses (Count)
system.cpu1.dcache.ReadReq.misses::total       104969                       # number of ReadReq misses (Count)
system.cpu1.dcache.ReadReq.missLatency::cpu1.data   2269349046                       # number of ReadReq miss ticks (Tick)
system.cpu1.dcache.ReadReq.missLatency::total   2269349046                       # number of ReadReq miss ticks (Tick)
system.cpu1.dcache.ReadReq.accesses::cpu1.data      6570131                       # number of ReadReq accesses(hits+misses) (Count)
system.cpu1.dcache.ReadReq.accesses::total      6570131                       # number of ReadReq accesses(hits+misses) (Count)
system.cpu1.dcache.ReadReq.missRate::cpu1.data     0.015977                       # miss rate for ReadReq accesses (Ratio)
system.cpu1.dcache.ReadReq.missRate::total     0.015977                       # miss rate for ReadReq accesses (Ratio)
system.cpu1.dcache.ReadReq.avgMissLatency::cpu1.data 21619.230878                       # average ReadReq miss latency ((Tick/Count))
system.cpu1.dcache.ReadReq.avgMissLatency::total 21619.230878                       # average ReadReq miss latency ((Tick/Count))
system.cpu1.dcache.ReadReq.mshrHits::cpu1.data        44751                       # number of ReadReq MSHR hits (Count)
system.cpu1.dcache.ReadReq.mshrHits::total        44751                       # number of ReadReq MSHR hits (Count)
system.cpu1.dcache.ReadReq.mshrMisses::cpu1.data        60218                       # number of ReadReq MSHR misses (Count)
system.cpu1.dcache.ReadReq.mshrMisses::total        60218                       # number of ReadReq MSHR misses (Count)
system.cpu1.dcache.ReadReq.mshrUncacheable::cpu1.data         1576                       # number of ReadReq MSHR uncacheable (Count)
system.cpu1.dcache.ReadReq.mshrUncacheable::total         1576                       # number of ReadReq MSHR uncacheable (Count)
system.cpu1.dcache.ReadReq.mshrMissLatency::cpu1.data    912225861                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu1.dcache.ReadReq.mshrMissLatency::total    912225861                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu1.dcache.ReadReq.mshrUncacheableLatency::cpu1.data    110414475                       # number of ReadReq MSHR uncacheable ticks (Tick)
system.cpu1.dcache.ReadReq.mshrUncacheableLatency::total    110414475                       # number of ReadReq MSHR uncacheable ticks (Tick)
system.cpu1.dcache.ReadReq.mshrMissRate::cpu1.data     0.009165                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu1.dcache.ReadReq.mshrMissRate::total     0.009165                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu1.dcache.ReadReq.avgMshrMissLatency::cpu1.data 15148.723986                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu1.dcache.ReadReq.avgMshrMissLatency::total 15148.723986                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu1.dcache.ReadReq.avgMshrUncacheableLatency::cpu1.data 70059.946066                       # average ReadReq mshr uncacheable latency ((Tick/Count))
system.cpu1.dcache.ReadReq.avgMshrUncacheableLatency::total 70059.946066                       # average ReadReq mshr uncacheable latency ((Tick/Count))
system.cpu1.dcache.SoftPFExReq.hits::cpu1.data       110005                       # number of SoftPFExReq hits (Count)
system.cpu1.dcache.SoftPFExReq.hits::total       110005                       # number of SoftPFExReq hits (Count)
system.cpu1.dcache.SoftPFExReq.misses::cpu1.data         5306                       # number of SoftPFExReq misses (Count)
system.cpu1.dcache.SoftPFExReq.misses::total         5306                       # number of SoftPFExReq misses (Count)
system.cpu1.dcache.SoftPFExReq.accesses::cpu1.data       115311                       # number of SoftPFExReq accesses(hits+misses) (Count)
system.cpu1.dcache.SoftPFExReq.accesses::total       115311                       # number of SoftPFExReq accesses(hits+misses) (Count)
system.cpu1.dcache.SoftPFExReq.missRate::cpu1.data     0.046015                       # miss rate for SoftPFExReq accesses (Ratio)
system.cpu1.dcache.SoftPFExReq.missRate::total     0.046015                       # miss rate for SoftPFExReq accesses (Ratio)
system.cpu1.dcache.SoftPFExReq.mshrMisses::cpu1.data         3870                       # number of SoftPFExReq MSHR misses (Count)
system.cpu1.dcache.SoftPFExReq.mshrMisses::total         3870                       # number of SoftPFExReq MSHR misses (Count)
system.cpu1.dcache.SoftPFExReq.mshrMissLatency::cpu1.data     26871768                       # number of SoftPFExReq MSHR miss ticks (Tick)
system.cpu1.dcache.SoftPFExReq.mshrMissLatency::total     26871768                       # number of SoftPFExReq MSHR miss ticks (Tick)
system.cpu1.dcache.SoftPFExReq.mshrMissRate::cpu1.data     0.033561                       # mshr miss rate for SoftPFExReq accesses (Ratio)
system.cpu1.dcache.SoftPFExReq.mshrMissRate::total     0.033561                       # mshr miss rate for SoftPFExReq accesses (Ratio)
system.cpu1.dcache.SoftPFExReq.avgMshrMissLatency::cpu1.data  6943.609302                       # average SoftPFExReq mshr miss latency ((Tick/Count))
system.cpu1.dcache.SoftPFExReq.avgMshrMissLatency::total  6943.609302                       # average SoftPFExReq mshr miss latency ((Tick/Count))
system.cpu1.dcache.SoftPFReq.hits::cpu1.data         1063                       # number of SoftPFReq hits (Count)
system.cpu1.dcache.SoftPFReq.hits::total         1063                       # number of SoftPFReq hits (Count)
system.cpu1.dcache.SoftPFReq.misses::cpu1.data          664                       # number of SoftPFReq misses (Count)
system.cpu1.dcache.SoftPFReq.misses::total          664                       # number of SoftPFReq misses (Count)
system.cpu1.dcache.SoftPFReq.accesses::cpu1.data         1727                       # number of SoftPFReq accesses(hits+misses) (Count)
system.cpu1.dcache.SoftPFReq.accesses::total         1727                       # number of SoftPFReq accesses(hits+misses) (Count)
system.cpu1.dcache.SoftPFReq.missRate::cpu1.data     0.384482                       # miss rate for SoftPFReq accesses (Ratio)
system.cpu1.dcache.SoftPFReq.missRate::total     0.384482                       # miss rate for SoftPFReq accesses (Ratio)
system.cpu1.dcache.SoftPFReq.mshrMisses::cpu1.data          664                       # number of SoftPFReq MSHR misses (Count)
system.cpu1.dcache.SoftPFReq.mshrMisses::total          664                       # number of SoftPFReq MSHR misses (Count)
system.cpu1.dcache.SoftPFReq.mshrMissLatency::cpu1.data      9165492                       # number of SoftPFReq MSHR miss ticks (Tick)
system.cpu1.dcache.SoftPFReq.mshrMissLatency::total      9165492                       # number of SoftPFReq MSHR miss ticks (Tick)
system.cpu1.dcache.SoftPFReq.mshrMissRate::cpu1.data     0.384482                       # mshr miss rate for SoftPFReq accesses (Ratio)
system.cpu1.dcache.SoftPFReq.mshrMissRate::total     0.384482                       # mshr miss rate for SoftPFReq accesses (Ratio)
system.cpu1.dcache.SoftPFReq.avgMshrMissLatency::cpu1.data 13803.451807                       # average SoftPFReq mshr miss latency ((Tick/Count))
system.cpu1.dcache.SoftPFReq.avgMshrMissLatency::total 13803.451807                       # average SoftPFReq mshr miss latency ((Tick/Count))
